H.F.Amiel|Học... Học để là chính mình, và học để từ bỏ với vẽ thanh cao những gì không phải là mình.
Ngạn ngữ Đức|Tuần lễ của người chăm chỉ có bảy ngày, còn tuần lễ của kẻ lười biến có bảy ngày mai.
Xuân Hoài|Về quê gặp bến sông quê, thời gian đã vắt qua đê lối mòn, dẫu cho biết mẹ không còn, bến xưa nhòe lệ mắt con vẫn tìm.
Lễ Ký|Ngọc không giũa không thành đồ đẹp, người không học không biết lẽ phải.
Ngạn ngữ Nga|Rễ của sự học tập thì đắng, quả của sự học tập thì ngọt.
Khổng Tử|Người sáng suốt mà chăm học thì không lấy việc hỏi kẻ kém hơn mình là xấu hổ.
Khổng Tử|Người học cao hiểu rộng mà không mang tri thức giúp ích cho đời thì cũng giống như người nông dân, đã cày xới mà không gieo hạt.
Marius Grout|Người có học không phải người biết nhiều mà là biết rõ những gì mình phải biết và hiễu rõ những gì mình đã biết.
Thái Công|Muốn đánh giá người trước tiên tự đánh giá mình, nói lời tổn hại người khác ngược lại tổn hại mình. Ngậm máu phun người dơ miệng mình.
Ngoạn ngữ Mông Cổ|Không phải những người cười với ta đều là bạn ta, cũng không phải tất cả những người làm ta bực mình đều là kẻ thù của ta.
Phan Nhân|Hạnh phúc có khi đơn giản chỉ là một ly cà phê buổi sáng và một ly sữa ấm vào buổi tối. Có khi chỉ là một bữa cơm đông đủ gia đình vào ngày chủ nhật. Có khi đơn giản là một cái ôm của mẹ trước khi rời khỏi nhà… Hạnh phúc chính là những điều rất giản đơn, đâu phải tìm kiếm xa xôi đâu.
Phan Nhân|Ai cũng bảo con gái không nên quá mạnh mẽ, quá độc lập, quá lợi hại, nếu không sẽ chẳng mấy người thích. Thế nhưng, nếu tôi không kiên cường, không độc lập, không lợi hại, lúc tôi bất lực nhất ai sẽ vươn tay cứu giúp tôi?
Phan Nhân|Người đàn ông đích thực luôn biết cách để chuộc lỗi của mình, không đơn thuần chỉ là nói xin lỗi.
Phan Nhân|Viên mãn nhất trong tình cảm không phải là nắm giữ được bàn tay của một người nhất nhất không rời, mà là khi trải qua bao nhiêu mất mát đổi thay, họ vẫn về để nắm lấy tay bạn.
Phạm Lữ Ân|Bạn có thể yêu hay ghét, thích hay không còn thích nữa. Chỉ cần thành thật, bạn sẽ luôn luôn thanh thản.
Julia Roberts|Bạn sẽ biết rằng đó là tình yêu khi tất cả những gì bạn muốn là người đó hạnh phúc cho dù niềm hạnh phúc đó không có phần của bạn.
Phan Nhân|Để trưởng thành bạn cần phải đánh đổi bằng nhiều mối quan hệ và đánh mất rất nhiều người gọi là bạn.
Phan Nhân|Bạn có thể khiến một cô gái khóc, cũng có thể làm cô ấy tủi thân, nhưng không được khiến cô ấy trầm mặc im lặng. Bởi vì trầm mặc chính là mức độ tổn thương cao nhất, lặng im chính là tiếng khóc đau khổ nhất của một người con gái.
Phan Nhân|Sẽ có lúc bạn buồn mà chẳng biết tại sao. Cảm giác giống như đã đánh rơi thứ gì đó rất quan trọng nhưng chẳng thể nhớ đó là gì.
Phan Nhân|Chúng mình thức dậy mỗi ngày đều mong thấy được mình bên người mình yêu. Thiên đường của người này, đôi khi, chỉ là ánh mắt, bờ vai, tấm lưng, đôi bàn tay của người kia.
Phan Nhân|Đúng thời điểm hay không đúng thời điểm không quan trọng. Đúng người hay sai người không quan trọng. Quan trọng là có thương hay không thương. Đã thương thì không đúng thời điểm hay kể cả sai người, cũng chẳng thành vấn đề.
Phan Nhân|Đời người, thứ khó chấp nhận nhất chính là việc ta nhận ra rằng sau tất cả mọi cố gắng của bản thân vì một ai đó, một thứ gì đó, thì đến cuối cùng tất cả cũng rời bỏ ta.
